RANK,NAME,TEAM,POS,AGE,GP,MPG,USG,TO,FTA,FT,2PA,2PP,3PA,3PP,eFG,TS,PPG,RPG,APG,SPG,BPG,TPG,P+R,P+A,P+R+A,VI,ORtg,DRtg,win
196,Josh Hart,Nyk,G,28.1,25.0,30.0,12.6,19.5,57.0,0.789,105.0,0.619,52.0,0.519,0.672,0.703,10.2,7.0,3.6,1.4,0.5,1.5,17.3,13.8,20.9,8.5,135.9,106.7,0.573
197,Malaki Branham,San,F,19.9,66.0,23.5,19.1,11.1,70.0,0.829,355.0,0.538,255.0,0.302,0.502,0.524,10.2,2.7,1.9,0.5,0.1,1.2,12.9,12.1,14.8,6.4,103.2,117.3,0.268
198,Aaron Nesmith,Ind,G-F,23.5,73.0,24.9,16.8,11.2,142.0,0.838,276.0,0.496,313.0,0.367,0.525,0.566,10.1,3.8,1.3,0.8,0.5,1.0,13.9,11.5,15.2,5.9,111.7,109.0,0.427
199,De'Anthony Melton,Phi,G,24.9,77.0,27.9,16.5,13.5,87.0,0.793,248.0,0.484,403.0,0.39,0.546,0.566,10.1,4.1,2.6,1.6,0.5,1.3,14.2,12.7,16.8,6.8,111.7,106.0,0.659
200,Brandon Clarke,Mem,F,26.6,56.0,19.5,17.7,13.6,137.0,0.723,343.0,0.665,6.0,0.167,0.658,0.682,10.0,5.5,1.3,0.6,0.7,1.0,15.5,11.3,16.8,8.5,131.0,100.8,0.622
1,Joel Embiid,Phi,C,30.3,6.0,41.4,35.7,15.8,78.0,0.859,94.0,0.489,39.0,0.333,0.492,0.592,33.0,10.8,5.7,1.2,1.5,4.2,43.8,38.7,49.5,12.2,117.1,108.0,0.573
2,Jalen Brunson,Nyk,G,27.8,13.0,39.8,36.4,9.3,120.0,0.775,256.0,0.488,84.0,0.31,0.482,0.536,32.4,3.3,7.5,0.8,0.2,2.7,35.7,39.8,43.2,9.3,114.8,114.7,0.61
3,Damian Lillard,Mil,G,33.9,4.0,39.1,31.4,10.0,38.0,0.974,33.0,0.424,48.0,0.417,0.543,0.64,31.3,3.3,5.0,1.0,0.0,2.3,34.5,36.3,39.5,8.2,127.6,115.7,0.598
4,Shai Gilgeous-Alexander,Okc,G,25.9,10.0,39.9,32.3,8.9,81.0,0.79,187.0,0.508,37.0,0.432,0.531,0.582,30.2,7.2,6.4,1.3,1.7,2.2,37.4,36.6,43.8,11.2,118.3,106.9,0.695
5,Tyrese Maxey,Phi,G,23.6,6.0,44.6,28.1,8.6,28.0,0.893,83.0,0.53,55.0,0.4,0.558,0.595,29.8,5.2,6.8,0.8,0.3,2.2,35.0,36.7,41.8,9.1,120.9,113.3,0.573
6,Donovan Mitchell,Cle,G,27.8,10.0,38.2,34.3,11.1,65.0,0.815,143.0,0.545,82.0,0.354,0.54,0.584,29.6,5.4,4.7,1.3,0.3,2.8,35.0,34.3,39.7,9.5,111.5,108.3,0.585
7,Luka Doncic,Dal,G,25.3,22.0,40.9,33.4,15.1,153.0,0.765,293.0,0.536,211.0,0.322,0.514,0.556,28.9,9.5,8.1,1.9,0.4,4.1,38.3,37.0,46.4,12.8,109.0,108.3,0.61
8,Nikola Jokic,Den,C,29.3,12.0,40.2,30.0,14.1,71.0,0.901,191.0,0.623,53.0,0.264,0.574,0.625,28.7,13.4,8.7,1.4,0.7,3.3,42.1,37.3,50.8,14.9,125.6,106.4,0.695
9,Anthony Davis,Lal,C,31.3,5.0,41.6,25.7,10.5,26.0,0.808,88.0,0.67,5.0,0.0,0.634,0.665,27.8,15.6,4.0,0.4,1.6,2.2,43.4,31.8,47.4,11.6,127.4,105.1,0.573
10,LeBron James,Lal,F,39.5,5.0,40.8,29.0,16.1,23.0,0.739,73.0,0.63,26.0,0.385,0.616,0.637,27.8,6.8,8.8,2.4,1.0,3.8,34.6,36.6,43.4,11.6,118.5,110.4,0.573
11,Anthony Edwards,Min,G,22.9,16.0,40.5,29.5,13.8,102.0,0.814,209.0,0.526,115.0,0.4,0.552,0.598,27.6,7.0,6.5,1.5,0.6,3.3,34.6,34.1,41.1,10.7,116.0,106.7,0.683
12,Devin Booker,Pho,G,27.6,4.0,41.5,26.6,14.4,41.0,0.951,45.0,0.556,20.0,0.35,0.546,0.662,27.5,3.3,6.0,1.8,0.3,2.8,30.8,33.5,36.8,7.9,130.4,108.4,0.598
13,Paolo Banchero,Orl,F,21.6,7.0,37.5,33.9,17.6,49.0,0.755,109.0,0.477,40.0,0.4,0.51,0.554,27.0,8.6,4.0,1.1,0.6,4.6,35.6,31.0,39.6,10.4,102.2,107.4,0.573
14,Kevin Durant,Pho,F,35.7,4.0,42.1,25.6,12.9,34.0,0.824,55.0,0.582,12.0,0.417,0.59,0.653,26.8,6.5,3.3,0.5,1.5,2.5,33.3,30.0,36.5,7.9,122.6,114.5,0.598
15,Jayson Tatum,Bos,F,26.3,19.0,40.4,29.2,11.8,137.0,0.861,234.0,0.513,138.0,0.283,0.48,0.549,25.0,9.7,6.3,1.1,0.7,2.6,34.7,31.3,40.9,11.4,114.1,104.9,0.78
16,Khris Middleton,Mil,F,32.9,6.0,38.3,28.2,10.9,30.0,0.9,83.0,0.53,31.0,0.355,0.531,0.582,24.7,9.2,4.7,0.5,0.2,2.3,33.8,29.3,38.5,10.7,117.0,107.1,0.598
17,Jaylen Brown,Bos,F,27.6,19.0,37.2,28.6,13.1,103.0,0.66,229.0,0.607,110.0,0.327,0.569,0.591,23.9,5.9,3.3,1.2,0.6,2.7,29.8,27.2,33.1,8.3,111.1,106.9,0.78
18,Bam Adebayo,Mia,C,26.9,5.0,38.5,29.0,7.6,21.0,0.714,87.0,0.529,10.0,0.2,0.505,0.532,22.6,9.4,3.8,0.4,0.0,1.6,32.0,26.4,35.8,9.7,109.5,106.7,0.561
19,Kyrie Irving,Dal,G,32.2,22.0,40.0,24.9,11.3,73.0,0.849,262.0,0.508,136.0,0.39,0.534,0.566,22.1,3.7,5.1,1.0,0.3,2.3,25.8,27.3,31.0,7.5,112.8,112.9,0.61
20,Pascal Siakam,Ind,F,30.2,17.0,35.4,25.3,6.1,63.0,0.619,243.0,0.588,47.0,0.298,0.566,0.578,21.6,7.5,3.8,0.8,0.4,1.1,29.1,25.4,32.9,9.6,120.4,114.8,0.573
21,James Harden,Lac,G,34.8,6.0,40.3,22.1,13.5,32.0,0.906,42.0,0.524,47.0,0.383,0.551,0.616,21.2,4.5,8.0,1.0,1.0,2.3,25.7,29.2,33.7,9.1,127.4,115.0,0.622
22,Jamal Murray,Den,G,27.3,12.0,38.5,29.0,11.1,26.0,0.923,176.0,0.438,73.0,0.315,0.448,0.474,20.6,4.3,5.6,0.8,0.5,2.6,24.9,26.2,30.5,8.2,98.1,112.6,0.695
23,Paul George,Lac,G,34.1,6.0,37.1,24.6,12.8,25.0,0.84,46.0,0.457,49.0,0.367,0.505,0.552,19.5,6.8,4.8,1.2,0.5,2.3,26.3,24.3,31.2,9.3,111.1,107.3,0.622
24,Karl-Anthony Towns,Min,F,28.6,16.0,32.6,25.2,10.4,69.0,0.855,149.0,0.523,83.0,0.361,0.53,0.581,19.1,9.0,2.6,0.8,0.2,1.7,28.1,21.7,30.7,9.4,116.8,100.3,0.683
25,Franz Wagner,Orl,F,22.8,7.0,37.1,22.2,8.0,44.0,0.886,69.0,0.478,34.0,0.265,0.451,0.539,18.9,6.9,4.4,0.7,1.3,1.3,25.7,23.3,30.1,9.0,118.7,106.3,0.573
26,Jalen Williams,Okc,F,23.2,10.0,37.7,23.1,10.6,27.0,0.815,121.0,0.496,39.0,0.385,0.516,0.544,18.7,6.8,5.4,1.7,0.5,1.9,25.5,24.1,30.9,9.4,112.7,109.3,0.695
27,Tyrese Haliburton,Ind,G,24.3,15.0,34.8,22.1,12.6,20.0,0.85,75.0,0.693,140.0,0.379,0.612,0.626,18.7,4.8,8.2,1.3,0.7,2.1,23.5,26.9,31.7,10.4,126.8,120.6,0.573
28,Donte DiVincenzo,Nyk,G,27.4,13.0,35.8,20.8,7.7,30.0,0.867,85.0,0.412,106.0,0.425,0.537,0.566,17.8,4.0,2.6,1.2,0.9,1.2,21.8,20.4,24.4,6.4,118.2,111.9,0.61
29,CJ McCollum,Nor,G,32.7,4.0,36.9,27.0,17.7,2.0,1.0,45.0,0.533,29.0,0.241,0.466,0.474,17.8,4.8,4.8,1.8,0.8,4.0,22.5,22.5,27.3,8.1,88.1,105.8,0.598
30,Brook Lopez,Mil,C,36.2,6.0,33.4,20.8,10.7,15.0,0.533,52.0,0.654,23.0,0.435,0.653,0.65,17.7,4.3,1.8,0.0,1.3,1.5,22.0,19.5,23.8,6.2,121.3,117.2,0.598
31,Jarrett Allen,Cle,C,26.2,4.0,31.8,19.6,11.8,26.0,0.692,37.0,0.676,0.0,0.0,0.676,0.702,17.0,13.8,1.3,1.3,1.0,1.3,30.8,18.3,32.0,8.5,137.5,103.7,0.585
32,Myles Turner,Ind,C,28.2,17.0,32.4,21.4,13.8,50.0,0.76,119.0,0.563,86.0,0.453,0.612,0.637,17.0,6.6,2.1,0.5,1.5,1.9,23.6,19.1,25.8,7.6,116.7,114.6,0.573
33,Austin Reaves,Lal,G,26.1,5.0,34.8,20.0,5.9,19.0,0.895,37.0,0.622,26.0,0.269,0.532,0.589,16.8,3.8,3.6,1.4,0.6,0.8,20.6,20.4,24.2,7.0,123.7,114.2,0.573
34,Tyler Herro,Mia,G,24.4,5.0,37.0,25.5,15.2,10.0,0.9,35.0,0.429,43.0,0.349,0.481,0.51,16.8,3.6,5.4,0.4,0.0,2.8,20.4,22.2,25.8,7.4,98.9,111.8,0.561
35,Derrick White,Bos,G,30.0,19.0,35.6,18.8,6.2,38.0,0.921,80.0,0.55,161.0,0.404,0.587,0.617,16.7,4.3,4.1,0.9,1.2,0.8,21.0,20.8,25.1,7.5,130.9,109.1,0.78
36,Bobby Portis,Mil,F,29.4,6.0,31.2,26.0,9.0,13.0,0.615,79.0,0.519,12.0,0.25,0.5,0.512,16.5,11.3,1.0,0.5,0.2,1.5,27.8,17.5,28.8,7.3,102.5,108.7,0.598
37,Bradley Beal,Pho,G,31.0,4.0,38.6,22.6,18.0,5.0,0.8,36.0,0.444,23.0,0.435,0.525,0.539,16.5,2.8,4.5,0.8,0.3,3.3,19.3,21.0,23.8,6.1,102.1,112.1,0.598
38,Ivica Zubac,Lac,C,27.3,6.0,32.0,20.6,10.2,20.0,0.65,70.0,0.6,0.0,0.0,0.6,0.615,16.2,9.3,1.0,0.8,0.5,1.3,25.5,17.2,26.5,6.7,121.1,105.6,0.622
39,Evan Mobley,Cle,C,23.0,12.0,35.2,20.3,13.1,36.0,0.694,128.0,0.594,18.0,0.278,0.572,0.593,16.0,9.3,2.3,0.8,2.2,1.8,25.3,18.3,27.6,7.9,114.5,106.3,0.585
40,Michael Porter Jr.,Den,F,26.0,12.0,36.9,18.2,11.0,26.0,0.769,65.0,0.538,81.0,0.407,0.579,0.6,15.8,6.8,1.1,0.9,0.8,1.5,22.6,16.8,23.7,5.3,110.1,110.1,0.695
41,Darius Garland,Cle,G,24.4,12.0,36.0,22.4,13.6,21.0,0.81,100.0,0.48,71.0,0.352,0.5,0.522,15.7,3.6,5.8,1.1,0.2,2.3,19.3,21.4,25.0,7.7,104.6,109.4,0.585
42,Chet Holmgren,Okc,C,22.1,10.0,34.5,20.2,13.7,33.0,0.758,69.0,0.667,50.0,0.26,0.55,0.584,15.6,7.2,2.1,0.7,2.5,1.9,22.8,17.7,24.9,7.2,110.7,107.5,0.695
43,OG Anunoby,Nyk,F,26.9,9.0,36.0,17.2,8.2,13.0,0.615,72.0,0.556,39.0,0.41,0.577,0.583,15.1,6.0,1.1,0.9,1.0,1.1,21.1,16.2,22.2,5.2,113.9,112.5,0.61
44,Andrew Nembhard,Ind,G-F,24.4,17.0,32.6,17.6,11.2,26.0,0.769,122.0,0.598,60.0,0.483,0.64,0.654,14.9,3.3,5.5,0.4,0.2,1.4,18.2,20.4,23.7,7.9,131.0,115.0,0.573
45,Alec Burks,Nyk,G,32.9,6.0,20.1,23.4,0.0,32.0,0.844,22.0,0.591,28.0,0.429,0.62,0.694,14.8,3.3,1.0,0.2,0.2,0.0,18.2,15.8,19.2,7.3,152.2,113.5,0.61
46,Jalen Suggs,Orl,G,23.0,7.0,33.2,21.8,19.5,30.0,0.767,34.0,0.559,48.0,0.292,0.488,0.541,14.7,5.1,3.3,1.3,0.4,2.9,19.9,18.0,23.1,7.6,103.4,106.0,0.573
47,Josh Hart,Nyk,G,29.3,13.0,42.1,16.5,18.4,48.0,0.729,91.0,0.484,59.0,0.373,0.513,0.552,14.5,11.5,4.5,1.0,0.8,2.6,26.1,19.1,30.6,8.6,112.7,107.5,0.61
48,Jonas Valanciunas,Nor,C,32.1,4.0,22.4,29.1,19.1,17.0,0.824,41.0,0.537,1.0,0.0,0.524,0.586,14.5,11.0,1.3,0.5,0.0,2.5,25.5,15.8,26.8,10.6,112.7,101.7,0.598
49,Brandon Ingram,Nor,F,26.8,4.0,36.4,21.8,14.0,19.0,0.895,47.0,0.362,8.0,0.25,0.364,0.45,14.3,4.5,3.3,1.0,1.3,2.3,18.8,17.5,22.0,6.6,92.4,111.4,0.598
50,Aaron Gordon,Den,F,28.8,12.0,37.1,15.3,13.2,28.0,0.821,91.0,0.637,27.0,0.407,0.631,0.66,14.3,7.3,4.4,0.8,0.6,1.5,21.6,18.8,26.0,8.3,133.4,111.6,0.695
51,D'Angelo Russell,Lal,G,28.3,5.0,36.9,20.7,10.9,2.0,0.5,29.0,0.483,44.0,0.318,0.479,0.481,14.2,2.8,4.2,0.8,0.2,1.8,17.0,18.4,21.2,6.0,95.6,117.0,0.573
52,Kelly Oubre Jr.,Phi,F-G,28.5,6.0,37.3,15.8,11.1,11.0,0.727,41.0,0.537,23.0,0.391,0.555,0.574,13.2,4.0,1.7,1.8,1.2,1.3,17.2,14.8,18.8,4.8,112.6,107.6,0.573
53,Jrue Holiday,Bos,G,34.0,19.0,37.9,15.0,13.0,22.0,0.955,106.0,0.585,87.0,0.402,0.593,0.617,13.2,6.1,4.4,1.1,0.6,1.5,19.2,17.5,23.6,7.5,126.8,109.5,0.78
54,P.J. Washington,Dal,F,25.8,22.0,35.7,16.8,12.0,55.0,0.709,99.0,0.535,135.0,0.348,0.528,0.554,13.0,6.6,1.4,0.7,0.8,1.5,19.6,14.4,21.0,5.5,108.0,109.3,0.61
55,Herbert Jones,Nor,G,25.7,4.0,35.2,17.8,21.0,12.0,1.0,17.0,0.471,24.0,0.333,0.488,0.562,13.0,5.0,2.5,1.3,0.3,2.8,18.0,15.5,20.5,6.2,103.7,105.7,0.598
56,Jaime Jaquez Jr.,Mia,G,23.3,4.0,30.6,24.8,11.8,7.0,0.857,39.0,0.462,13.0,0.231,0.433,0.463,12.8,3.3,3.0,0.8,0.5,1.8,16.0,15.8,19.0,6.6,93.1,111.7,0.561
57,Norman Powell,Lac,G,31.1,6.0,29.8,19.0,10.2,15.0,0.8,32.0,0.406,29.0,0.448,0.533,0.57,12.8,2.8,0.3,0.5,0.0,1.2,15.7,13.2,16.0,3.0,107.2,109.6,0.622
58,Kristaps Porzingis,Bos,C,28.9,7.0,23.5,21.1,7.6,22.0,0.909,31.0,0.581,29.0,0.345,0.55,0.617,12.3,4.4,1.1,0.7,1.6,0.7,16.7,13.4,17.9,6.6,124.2,103.8,0.78
59,Jaden McDaniels,Min,F,23.7,16.0,33.6,14.6,10.8,35.0,0.771,84.0,0.571,56.0,0.429,0.6,0.627,12.2,3.8,1.1,0.9,1.1,1.1,16.0,13.3,17.1,4.4,121.5,104.9,0.683
60,Rudy Gobert,Min,C,32.0,15.0,34.2,14.4,18.1,79.0,0.671,104.0,0.615,0.0,0.0,0.615,0.652,12.1,9.8,1.6,0.9,1.0,1.5,21.9,13.7,23.5,6.7,125.4,99.7,0.683
61,Kawhi Leonard,Lac,F,33.0,2.0,29.8,22.5,14.1,3.0,0.667,19.0,0.579,5.0,0.0,0.458,0.474,12.0,8.0,2.0,2.0,0.5,2.0,20.0,14.0,22.0,7.7,94.0,109.1,0.622
62,T.J. McConnell,Ind,G,32.2,17.0,20.5,27.6,10.2,15.0,0.867,159.0,0.522,26.0,0.269,0.505,0.522,11.8,3.1,5.1,0.9,0.1,1.2,14.8,16.8,19.9,11.1,113.1,114.8,0.573
63,Caleb Martin,Mia,F,28.7,5.0,35.1,14.0,6.2,5.0,1.0,20.0,0.5,25.0,0.44,0.589,0.614,11.6,3.6,1.4,0.6,0.0,0.6,15.2,13.0,16.6,4.4,122.6,109.2,0.561
64,Mike Conley,Min,G,36.7,15.0,31.6,17.0,12.1,28.0,0.714,69.0,0.464,76.0,0.395,0.531,0.553,11.6,3.9,5.7,1.4,0.2,1.3,15.5,17.3,21.2,8.1,119.6,104.9,0.683
65,Trey Murphy III,Nor,F,24.0,4.0,42.0,14.6,14.3,0.0,0.0,18.0,0.444,30.0,0.333,0.479,0.479,11.5,6.5,2.3,1.3,1.5,2.0,18.0,13.8,20.3,5.3,91.8,108.8,0.598
66,Naz Reid,Min,C-F,24.8,16.0,22.5,21.4,9.0,31.0,0.71,73.0,0.548,69.0,0.362,0.546,0.569,11.1,3.7,1.0,0.5,0.8,0.9,14.8,12.1,15.8,6.1,109.5,104.2,0.683
67,Miles McBride,Nyk,G,23.8,13.0,26.7,17.8,8.1,12.0,0.833,56.0,0.518,68.0,0.368,0.536,0.553,11.0,2.2,1.9,0.5,0.2,0.8,13.2,12.9,15.2,5.4,115.2,110.7,0.61
68,Obi Toppin,Ind,F,26.3,17.0,20.2,21.1,9.4,25.0,0.76,79.0,0.671,56.0,0.357,0.615,0.634,10.9,4.4,1.7,0.4,0.4,0.8,15.3,12.6,17.0,8.6,121.6,115.7,0.573
69,Luguentz Dort,Okc,F,25.2,10.0,35.0,14.4,10.7,19.0,0.842,27.0,0.296,64.0,0.391,0.5,0.538,10.7,4.6,2.0,1.3,0.2,1.1,15.3,12.7,17.3,5.3,113.4,104.8,0.695
70,Aaron Nesmith,Ind,G-F,24.7,17.0,32.9,14.6,14.0,37.0,0.919,62.0,0.629,79.0,0.278,0.511,0.566,10.5,4.9,2.2,0.6,0.5,1.4,15.4,12.6,17.6,5.9,112.1,111.4,0.573
71,Caris LeVert,Cle,G,29.8,11.0,25.3,21.3,12.0,26.0,0.654,69.0,0.551,33.0,0.182,0.461,0.489,10.1,3.6,2.3,0.8,0.5,1.3,13.7,12.4,16.0,6.9,99.4,111.7,0.585
72,Max Strus,Cle,F,28.2,12.0,36.1,12.9,12.7,5.0,1.0,31.0,0.548,72.0,0.347,0.529,0.542,9.5,5.3,2.9,0.8,0.0,1.3,14.8,12.4,17.8,5.8,108.0,106.9,0.585
73,Nikola Jovic,Mia,F,21.0,5.0,25.7,17.2,14.2,7.0,0.857,14.0,0.5,22.0,0.409,0.569,0.601,9.4,6.6,2.2,1.0,0.6,1.2,16.0,11.6,18.2,8.0,113.3,104.1,0.561
74,Terance Mann,Lac,G-F,27.7,6.0,31.2,13.3,9.7,8.0,1.0,24.0,0.375,22.0,0.455,0.522,0.565,9.3,5.0,1.8,0.0,0.0,0.8,14.3,11.2,16.2,5.6,125.2,112.1,0.622
75,Al Horford,Bos,C-F,38.0,19.0,30.3,12.5,8.0,11.0,0.636,43.0,0.721,95.0,0.368,0.605,0.609,9.2,7.0,2.1,0.8,0.8,0.6,16.2,11.3,18.3,6.8,130.0,108.6,0.78
76,Derrick Jones Jr.,Dal,F,27.3,22.0,29.4,13.4,10.1,30.0,0.733,95.0,0.558,65.0,0.369,0.556,0.577,9.1,3.5,1.2,0.5,1.0,0.8,12.5,10.3,13.8,4.6,116.9,112.0,0.61
77,Daniel Gafford,Dal,F-C,25.7,22.0,20.2,17.4,13.4,65.0,0.631,123.0,0.634,0.0,0.0,0.634,0.65,9.0,5.5,0.7,0.3,1.5,0.9,14.5,9.6,15.2,6.5,126.1,108.5,0.61
78,Naji Marshall,Nor,F,26.4,4.0,21.0,17.0,6.6,6.0,1.0,13.0,0.462,15.0,0.4,0.536,0.587,9.0,2.8,1.3,0.5,0.5,0.5,11.8,10.3,13.0,6.1,122.3,106.4,0.598
79,Tobias Harris,Phi,F,31.9,6.0,36.4,11.8,5.5,4.0,1.0,33.0,0.485,18.0,0.333,0.49,0.512,9.0,7.2,1.5,0.2,0.5,0.5,16.2,10.5,17.7,5.1,113.1,113.7,0.573
80,Malik Beasley,Mil,G,27.6,6.0,21.9,15.4,6.8,0.0,0.0,16.0,0.625,25.0,0.44,0.646,0.646,8.8,2.5,0.7,0.7,0.0,0.5,11.3,9.5,12.0,4.5,119.1,112.5,0.598
81,Josh Giddey,Okc,G,21.7,10.0,18.1,22.8,13.7,8.0,0.875,41.0,0.537,34.0,0.353,0.533,0.554,8.7,3.6,2.1,0.2,0.4,1.2,12.3,10.8,14.4,8.9,107.9,111.3,0.695
82,Isaiah Hartenstein,Nyk,C-F,26.1,13.0,29.8,11.9,19.9,22.0,0.864,74.0,0.595,2.0,0.5,0.599,0.642,8.5,7.8,3.5,0.3,0.9,1.5,16.3,12.0,19.8,8.2,132.0,106.8,0.61
83,Patrick Beverley,Mil,G,35.9,6.0,34.9,11.3,13.2,15.0,0.867,28.0,0.429,11.0,0.364,0.462,0.537,8.2,3.3,5.5,1.0,0.7,1.0,11.5,13.7,17.0,6.1,124.5,112.6,0.598
84,Kentavious Caldwell-Pope,Den,G,31.3,12.0,35.0,11.0,10.4,11.0,1.0,31.0,0.516,55.0,0.327,0.5,0.534,8.1,2.9,2.6,1.4,0.4,0.8,11.0,10.7,13.6,4.5,111.9,109.0,0.695
85,Delon Wright,Mia,G,32.1,4.0,26.8,9.5,0.0,2.0,1.0,10.0,0.6,10.0,0.6,0.75,0.766,8.0,3.0,1.8,1.0,0.3,0.0,11.0,9.8,12.8,5.2,160.8,111.1,0.561
86,Eric Gordon,Pho,G,35.5,4.0,29.4,14.2,12.4,8.0,0.875,11.0,0.182,17.0,0.412,0.446,0.508,8.0,1.8,1.3,1.3,0.5,1.0,9.8,9.3,11.0,3.6,101.8,116.2,0.598
87,Dereck Lively II,Dal,C,20.3,21.0,22.0,14.1,18.1,61.0,0.59,94.0,0.67,1.0,1.0,0.679,0.677,7.9,7.4,1.3,0.4,1.0,1.0,15.3,9.1,16.6,7.7,132.9,105.1,0.61
88,Rui Hachimura,Lal,F,26.4,5.0,30.5,13.2,5.0,8.0,0.5,24.0,0.417,14.0,0.357,0.461,0.47,7.8,3.8,0.8,0.0,0.0,0.4,11.6,8.6,12.4,3.8,101.3,115.7,0.573
89,Jusuf Nurkic,Pho,C,29.8,4.0,25.9,16.7,18.6,11.0,0.455,24.0,0.542,2.0,0.0,0.5,0.503,7.8,8.3,2.8,1.5,1.5,1.5,16.0,10.5,18.8,8.7,111.3,99.7,0.598
90,Wendell Carter Jr.,Orl,C,25.2,7.0,26.4,13.5,9.6,11.0,0.727,22.0,0.545,25.0,0.28,0.479,0.511,7.6,6.3,1.3,0.7,0.6,0.7,13.9,8.9,15.1,6.0,109.5,101.3,0.573
91,Taurean Prince,Lal,F,30.2,5.0,22.2,14.0,3.3,8.0,1.0,12.0,0.583,17.0,0.294,0.5,0.569,7.4,2.4,0.6,0.2,0.4,0.2,9.8,8.0,10.4,4.0,117.1,111.8,0.573
92,Nickeil Alexander-Walker,Min,F,25.8,16.0,23.6,15.8,11.8,10.0,1.0,31.0,0.548,81.0,0.296,0.473,0.498,7.3,1.8,2.3,0.6,0.4,0.9,9.0,9.6,11.3,5.3,103.3,109.1,0.683
93,Kyle Lowry,Phi,G,38.2,6.0,29.3,11.2,11.0,15.0,0.8,8.0,0.375,24.0,0.333,0.469,0.544,7.0,3.5,4.0,1.0,0.7,0.7,10.5,11.0,14.5,6.3,128.1,105.2,0.573
94,Payton Pritchard,Bos,G,26.4,19.0,18.7,16.3,11.7,12.0,0.917,45.0,0.467,60.0,0.383,0.529,0.553,6.4,1.9,2.1,0.2,0.0,0.7,8.4,8.5,10.5,6.3,117.5,111.2,0.78
95,Isaiah Joe,Okc,G,25.0,10.0,17.3,15.5,8.5,0.0,0.0,15.0,0.533,39.0,0.41,0.593,0.593,6.4,2.2,1.0,0.5,0.0,0.5,8.6,7.4,9.6,5.6,114.6,111.4,0.695
96,Markelle Fultz,Orl,G,26.1,7.0,15.1,19.1,18.9,9.0,0.556,33.0,0.606,1.0,0.0,0.588,0.593,6.4,2.0,1.1,0.4,0.0,1.1,8.4,7.6,9.6,6.4,107.7,103.8,0.573
