RANK,NAME,TEAM,POS,AGE,GP,MPG,USG,TO,FTA,FT,2PA,2PP,3PA,3PP,eFG,TS,PPG,RPG,APG,SPG,BPG,TPG,P+R,P+A,P+R+A,VI,ORtg,DRtg,win
102,Kyle Kuzma,Was,F,29.7,32.0,27.7,27.0,13.8,98.0,0.602,295.0,0.495,160.0,0.281,0.469,0.488,15.2,5.8,2.5,0.6,0.2,2.3,21.0,17.7,23.4,8.7,92.9,116.8,0.215
103,Kelly Oubre Jr.,Phi,F-G,29.3,60.0,34.6,19.0,9.7,185.0,0.751,499.0,0.555,242.0,0.293,0.518,0.551,15.1,6.1,1.8,1.5,0.5,1.3,21.2,16.9,23.0,6.4,111.1,112.3,0.291
104,Chet Holmgren,Okc,C-F,22.9,30.0,27.4,21.9,14.5,118.0,0.737,206.0,0.558,111.0,0.378,0.562,0.6,14.8,8.1,1.9,0.7,2.3,1.8,22.9,16.7,24.8,8.9,114.5,100.8,0.823
105,Caris LeVert,Atl,G,30.6,23.0,26.6,21.1,7.3,60.0,0.733,147.0,0.599,121.0,0.331,0.552,0.577,14.8,3.6,2.9,1.0,0.6,0.9,18.4,17.7,21.3,8.1,118.5,113.7,0.468
106,P.J. Washington,Dal,F,26.6,55.0,32.3,20.4,14.9,192.0,0.729,415.0,0.494,230.0,0.374,0.518,0.554,14.7,7.8,2.3,1.1,1.1,2.1,22.5,16.9,24.7,7.9,106.4,109.8,0.481
107,Stephon Castle,San,G,20.4,77.0,26.3,26.1,14.9,314.0,0.72,622.0,0.497,318.0,0.283,0.472,0.517,14.5,3.6,3.9,0.9,0.2,2.1,18.1,18.4,22.1,8.9,104.6,113.9,0.405
108,Jakob Poeltl,Tor,C,29.5,57.0,29.6,18.7,16.1,144.0,0.674,576.0,0.628,3.0,0.333,0.628,0.641,14.5,9.6,2.8,1.2,1.2,1.9,24.1,17.2,26.8,9.9,121.0,105.0,0.367
109,Gradey Dick,Tor,G-F,21.4,54.0,29.4,21.0,11.4,155.0,0.858,321.0,0.47,326.0,0.35,0.498,0.543,14.4,3.6,1.8,0.9,0.2,1.5,18.0,16.2,19.8,6.2,106.5,112.8,0.367
110,Josh Giddey,Chi,G,22.5,69.0,30.1,21.7,20.3,221.0,0.778,507.0,0.509,272.0,0.375,0.528,0.567,14.4,8.0,7.1,1.2,0.6,2.9,22.4,21.5,29.5,12.4,114.9,112.1,0.456
111,Deandre Ayton,Por,C,26.7,40.0,30.1,19.5,12.8,60.0,0.667,436.0,0.594,32.0,0.188,0.573,0.583,14.4,10.2,1.6,0.8,1.0,1.7,24.6,16.0,26.2,8.2,113.8,108.8,0.443
112,Kyle Kuzma,Mil,F,29.7,29.0,33.2,21.2,15.6,98.0,0.663,224.0,0.522,133.0,0.301,0.496,0.524,14.4,6.0,2.4,0.5,0.4,2.3,20.5,16.8,22.9,7.1,97.6,110.1,0.57
113,Jerami Grant,Por,F,31.1,47.0,32.4,19.5,10.2,166.0,0.849,278.0,0.381,296.0,0.365,0.467,0.523,14.4,3.5,2.1,0.9,1.0,1.4,17.9,16.6,20.0,5.8,108.9,113.7,0.443
114,Naz Reid,Min,C-F,25.6,76.0,27.6,21.6,10.6,137.0,0.766,438.0,0.541,444.0,0.383,0.558,0.578,14.3,6.0,2.3,0.8,0.9,1.4,20.3,16.6,22.6,8.4,114.2,104.8,0.582
115,Dyson Daniels,Atl,G,22.1,73.0,33.9,18.2,14.0,134.0,0.597,662.0,0.544,229.0,0.349,0.539,0.547,14.2,5.8,4.3,3.0,0.7,2.0,20.1,18.5,24.4,8.3,110.1,110.1,0.468
116,Klay Thompson,Dal,G,35.2,70.0,27.4,22.0,9.3,74.0,0.905,320.0,0.447,541.0,0.394,0.537,0.555,14.2,3.5,2.0,0.7,0.4,1.3,17.6,16.2,19.7,6.8,108.5,116.6,0.481
117,Tre Mann,Cha,G,24.2,13.0,24.5,26.0,13.4,21.0,0.905,101.0,0.455,60.0,0.4,0.509,0.537,14.1,2.9,3.0,0.5,0.3,1.9,17.0,17.1,20.0,8.1,105.4,114.5,0.241
118,Dillon Brooks,Hou,G-F,29.2,74.0,32.0,17.6,7.9,122.0,0.811,423.0,0.466,463.0,0.397,0.534,0.556,14.1,3.7,1.7,0.8,0.2,1.0,17.8,15.8,19.5,5.6,116.9,105.1,0.658
119,Fred VanVleet,Hou,G,31.1,59.0,35.3,17.5,10.1,133.0,0.82,293.0,0.43,453.0,0.344,0.483,0.515,14.1,3.7,5.6,1.6,0.4,1.4,17.8,19.6,23.4,7.5,116.9,107.6,0.658
120,Aaron Gordon,Den,F,29.6,48.0,28.0,18.5,13.4,168.0,0.804,288.0,0.569,157.0,0.452,0.608,0.651,14.1,4.8,3.3,0.4,0.3,1.4,18.9,17.3,22.2,8.7,128.2,115.0,0.595
121,Amen Thompson,Hou,G-F,22.2,68.0,32.3,17.4,16.6,243.0,0.683,598.0,0.597,90.0,0.278,0.573,0.601,14.0,8.2,3.8,1.4,1.3,2.0,22.3,17.9,26.1,9.4,120.9,104.4,0.658
122,Payton Pritchard,Bos,G,27.2,76.0,28.2,18.7,8.4,80.0,0.838,208.0,0.625,599.0,0.411,0.618,0.632,14.0,3.8,3.4,0.9,0.2,1.0,17.8,17.4,21.2,8.0,130.9,110.8,0.747
123,De'Andre Hunter,Cle,F-G,27.3,25.0,24.7,19.7,7.4,72.0,0.847,110.0,0.545,126.0,0.437,0.604,0.646,13.8,4.0,1.2,0.6,0.3,0.8,17.8,15.0,19.0,6.6,127.5,105.8,0.797
124,Josh Hart,Nyk,G,30.1,75.0,37.5,15.4,17.1,204.0,0.779,505.0,0.622,245.0,0.335,0.583,0.615,13.8,9.5,5.9,1.5,0.4,2.1,23.3,19.7,29.2,9.8,125.2,107.9,0.633
125,Jarrett Allen,Cle,C,27.0,78.0,28.4,15.9,13.1,267.0,0.723,617.0,0.716,4.0,0.0,0.712,0.729,13.8,9.8,1.9,0.9,0.9,1.2,23.6,15.7,25.6,9.0,141.6,106.6,0.797
126,Tobias Harris,Det,F,32.7,70.0,32.0,17.5,9.2,158.0,0.867,529.0,0.541,254.0,0.335,0.528,0.565,13.8,6.0,2.2,1.0,0.8,1.1,19.8,16.0,22.0,7.1,115.2,110.5,0.544
127,Bobby Portis,Mil,F,30.2,47.0,24.7,24.3,9.1,67.0,0.821,392.0,0.505,165.0,0.364,0.517,0.538,13.4,8.1,2.2,0.7,0.5,1.2,21.6,15.6,23.7,10.0,109.9,105.2,0.57
128,Russell Westbrook,Den,G,36.4,72.0,28.1,23.7,22.7,219.0,0.644,521.0,0.516,281.0,0.331,0.509,0.533,13.3,5.0,6.2,1.4,0.5,3.3,18.3,19.5,24.5,10.6,104.2,109.1,0.595
129,Naji Marshall,Dal,F,27.2,66.0,27.7,20.0,13.3,156.0,0.814,471.0,0.614,207.0,0.271,0.55,0.585,13.2,4.8,2.9,1.0,0.2,1.6,18.1,16.2,21.0,8.2,114.9,113.3,0.481
130,Onyeka Okongwu,Atl,F-C,24.3,71.0,27.6,17.2,11.2,204.0,0.75,517.0,0.636,136.0,0.316,0.603,0.633,13.2,8.8,2.3,0.9,0.9,1.2,22.0,15.5,24.3,9.3,128.9,108.7,0.468
131,Brook Lopez,Mil,C,37.0,77.0,32.1,15.8,9.6,134.0,0.821,388.0,0.642,361.0,0.374,0.603,0.627,13.2,5.1,1.8,0.6,1.9,1.0,18.2,15.0,20.1,6.2,122.8,110.6,0.57
132,Rui Hachimura,Lal,F,27.2,57.0,31.6,15.9,7.9,107.0,0.766,320.0,0.575,238.0,0.412,0.593,0.615,13.1,5.1,1.4,0.8,0.5,0.8,18.1,14.5,19.5,5.7,122.3,112.9,0.608
133,Alexandre Sarr,Was,C,20.0,63.0,27.2,23.3,12.1,156.0,0.667,452.0,0.454,324.0,0.315,0.461,0.485,13.0,6.5,2.3,0.7,1.5,1.7,19.5,15.3,21.8,8.5,99.0,114.4,0.215
134,Moritz Wagner,Orl,F-C,28.0,30.0,18.8,26.8,16.4,110.0,0.718,174.0,0.649,75.0,0.36,0.616,0.649,12.9,4.9,1.4,0.8,0.4,1.6,17.8,14.3,19.2,9.5,117.5,101.2,0.494
135,Kevin Huerter,Chi,G-F,26.6,23.0,30.2,17.6,9.1,19.0,0.737,94.0,0.543,164.0,0.366,0.547,0.556,12.9,3.3,2.9,1.2,0.3,1.1,16.1,15.8,19.0,6.6,109.8,114.6,0.456
136,D'Angelo Russell,Bro,G,29.1,29.0,24.7,25.9,15.1,92.0,0.826,135.0,0.467,192.0,0.297,0.454,0.508,12.9,2.8,5.6,1.1,0.7,2.0,15.7,18.4,21.2,9.5,107.6,110.4,0.329
137,Scoot Henderson,Por,G,21.2,66.0,26.7,22.6,20.5,206.0,0.767,388.0,0.469,297.0,0.354,0.496,0.54,12.7,3.0,5.1,1.0,0.2,2.7,15.7,17.8,20.8,8.7,107.0,109.8,0.443
138,Santi Aldama,Mem,F-C,24.2,62.0,25.5,18.8,9.8,93.0,0.699,317.0,0.599,312.0,0.365,0.574,0.587,12.7,6.5,2.9,0.8,0.5,1.1,19.2,15.5,22.1,9.7,121.7,111.7,0.595
139,Malcolm Brogdon,Was,G,32.3,24.0,23.5,23.7,13.7,92.0,0.88,184.0,0.478,56.0,0.286,0.467,0.544,12.7,3.8,4.1,0.5,0.2,1.6,16.5,16.8,20.6,9.9,112.9,119.2,0.215
140,Khris Middleton,Mil,F,33.7,23.0,23.2,22.0,14.9,46.0,0.848,125.0,0.584,86.0,0.407,0.595,0.627,12.6,3.7,4.4,0.7,0.2,1.6,16.3,17.0,20.7,10.2,121.0,105.7,0.57
141,Keegan Murray,Sac,F,24.6,74.0,34.5,15.0,6.8,70.0,0.829,363.0,0.565,440.0,0.348,0.541,0.556,12.5,6.6,1.4,0.8,0.9,0.8,19.2,14.0,20.6,5.6,116.4,112.6,0.494
142,Keldon Johnson,San,F-G,25.5,74.0,23.8,21.4,9.1,185.0,0.778,467.0,0.561,263.0,0.323,0.534,0.569,12.5,4.7,1.6,0.6,0.3,1.0,17.2,14.1,18.8,7.6,114.9,114.5,0.405
143,Zaccharie Risacher,Atl,F,20.0,71.0,24.8,20.8,10.6,141.0,0.723,416.0,0.529,324.0,0.346,0.524,0.547,12.4,3.6,1.3,0.7,0.5,1.2,16.0,13.6,17.3,6.2,106.8,113.4,0.468
144,D'Angelo Russell,Lal,G,29.1,29.0,26.3,22.1,13.8,53.0,0.849,143.0,0.51,168.0,0.333,0.505,0.537,12.4,2.8,4.7,0.8,0.1,1.7,15.1,17.0,19.8,8.3,109.5,111.8,0.608
145,Bilal Coulibaly,Was,G,20.7,59.0,33.0,17.9,16.7,185.0,0.746,400.0,0.5,224.0,0.281,0.472,0.515,12.3,5.0,3.4,1.3,0.7,2.1,17.3,15.7,20.7,7.2,102.7,116.9,0.215
146,Ayo Dosunmu,Chi,G,25.2,46.0,30.3,16.6,13.3,79.0,0.785,260.0,0.612,189.0,0.328,0.561,0.585,12.3,3.5,4.5,0.9,0.4,1.5,15.8,16.8,20.3,7.6,117.1,113.7,0.456
147,Jaden McDaniels,Min,F,24.5,78.0,32.1,16.2,9.7,124.0,0.823,504.0,0.558,292.0,0.336,0.538,0.563,12.3,5.8,2.0,1.4,0.9,1.1,18.1,14.3,20.1,6.5,116.0,105.4,0.582
148,Ty Jerome,Cle,G-F,27.8,68.0,19.8,23.4,13.0,145.0,0.869,348.0,0.572,243.0,0.428,0.601,0.638,12.3,2.5,3.3,1.1,0.0,1.3,14.8,15.6,18.1,9.4,126.8,108.6,0.797
149,Jabari Smith Jr.,Hou,F,21.9,57.0,30.1,16.4,9.9,126.0,0.825,289.0,0.519,277.0,0.354,0.525,0.562,12.2,7.0,1.1,0.4,0.7,1.1,19.3,13.3,20.3,6.0,116.9,106.3,0.658
150,Daniel Gafford,Dal,F-C,26.5,54.0,21.7,19.3,14.1,183.0,0.683,383.0,0.697,0.0,0.0,0.697,0.711,12.2,6.8,1.4,0.4,1.8,1.2,19.0,13.6,20.4,9.0,136.4,105.3,0.481
151,Georges Niang,Atl,F,31.8,25.0,23.5,19.8,10.6,29.0,0.793,76.0,0.5,167.0,0.407,0.576,0.592,12.1,3.2,1.7,0.4,0.2,1.2,15.3,13.8,17.0,6.9,111.9,110.3,0.468
152,Harrison Barnes,San,F,32.9,78.0,27.1,15.7,6.7,187.0,0.797,316.0,0.589,335.0,0.424,0.613,0.646,12.1,3.7,1.7,0.4,0.2,0.6,15.9,13.8,17.6,6.3,130.8,119.9,0.405
153,Tari Eason,Hou,F,23.9,55.0,25.0,19.2,10.5,101.0,0.772,358.0,0.559,178.0,0.343,0.544,0.569,12.0,6.4,1.4,1.7,0.9,1.1,18.4,13.4,19.8,7.6,118.0,100.5,0.658
154,Aaron Nesmith,Ind,G-F,25.5,42.0,25.0,17.3,9.0,71.0,0.915,168.0,0.595,184.0,0.429,0.621,0.655,12.0,3.9,1.2,0.8,0.4,0.8,15.8,13.2,17.0,6.1,123.7,108.7,0.608
155,Jalen Duren,Det,C,21.4,75.0,26.2,16.3,19.8,236.0,0.682,525.0,0.69,0.0,0.0,0.69,0.704,11.8,10.4,2.7,0.7,1.2,1.7,22.2,14.5,24.8,10.6,132.9,100.0,0.544
156,Moses Brown,Dal,C,25.5,4.0,18.3,21.6,14.5,6.0,0.833,29.0,0.724,0.0,0.0,0.724,0.743,11.8,7.8,0.5,1.0,0.8,1.3,19.5,12.3,20.0,7.8,130.1,96.5,0.481
157,Rudy Gobert,Min,C,32.8,68.0,33.0,12.8,15.7,250.0,0.676,468.0,0.667,0.0,0.0,0.667,0.686,11.7,10.9,1.8,0.8,1.5,1.3,22.5,13.4,24.3,7.4,136.3,105.0,0.582
158,Drew Timme,Bro,F,24.6,5.0,25.0,20.9,13.9,6.0,0.833,34.0,0.647,15.0,0.2,0.541,0.562,11.6,5.4,1.8,0.8,0.2,1.6,17.0,13.4,18.8,7.7,107.8,111.8,0.329
159,Corey Kispert,Was,F,26.1,61.0,26.3,17.5,10.2,88.0,0.852,235.0,0.574,330.0,0.364,0.558,0.584,11.6,3.0,1.7,0.4,0.2,1.0,14.5,13.2,16.2,5.9,112.2,119.8,0.215
160,Bogdan Bogdanovic,Lac,G,32.6,26.0,25.3,18.4,12.4,26.0,0.885,106.0,0.547,127.0,0.425,0.597,0.616,11.6,3.3,3.3,0.7,0.2,1.3,14.8,14.9,18.2,7.9,120.2,105.4,0.595
161,Kai Jones,Dal,C-F,24.2,11.0,21.3,14.7,8.3,18.0,0.722,64.0,0.859,2.0,0.5,0.856,0.852,11.5,6.5,1.2,0.7,0.9,0.5,17.9,12.6,19.1,8.4,163.0,104.9,0.481
162,Brandin Podziemski,Gol,G,22.1,60.0,26.5,18.3,10.6,86.0,0.756,296.0,0.517,288.0,0.368,0.534,0.554,11.5,5.1,3.4,1.1,0.2,1.2,16.5,14.9,20.0,8.8,115.9,109.6,0.595
163,Aaron Wiggins,Okc,G,26.3,72.0,22.6,19.8,8.4,75.0,0.813,350.0,0.577,316.0,0.386,0.578,0.594,11.5,3.8,1.7,0.8,0.3,0.8,15.3,13.2,17.0,7.4,119.1,107.8,0.823
164,Tre Jones,Chi,G,25.2,18.0,25.3,16.0,8.8,34.0,0.882,123.0,0.585,22.0,0.5,0.61,0.647,11.5,3.2,4.9,1.1,0.3,0.8,14.7,16.4,19.6,8.9,138.5,116.1,0.456
165,Donte DiVincenzo,Min,G,28.2,58.0,25.9,19.4,13.8,62.0,0.79,146.0,0.479,409.0,0.389,0.556,0.572,11.5,3.7,3.7,1.2,0.3,1.5,15.2,15.2,18.9,8.3,114.0,107.4,0.582
166,Jonas Valanciunas,Was,C,32.9,49.0,20.0,23.8,17.2,106.0,0.896,395.0,0.567,27.0,0.259,0.556,0.602,11.5,8.2,2.2,0.4,0.6,1.8,19.8,13.7,22.0,11.8,114.9,108.5,0.215
167,Jeremy Sochan,San,F,21.9,54.0,25.3,18.9,15.0,125.0,0.696,377.0,0.592,92.0,0.304,0.565,0.589,11.4,6.5,2.4,0.8,0.5,1.5,17.9,13.8,20.3,8.9,116.3,109.8,0.405
168,Toumani Camara,Por,F,24.9,75.0,32.8,14.2,13.8,122.0,0.721,337.0,0.549,341.0,0.375,0.556,0.575,11.2,5.8,2.2,1.5,0.7,1.5,17.0,13.4,19.2,6.4,116.2,109.9,0.443
169,Isaiah Hartenstein,Okc,C-F,26.9,56.0,27.9,16.8,16.7,117.0,0.675,453.0,0.605,19.0,0.0,0.581,0.599,11.2,10.6,3.8,0.8,1.1,1.7,21.8,15.0,25.7,11.0,123.4,96.5,0.823
170,Buddy Hield,Gol,G,32.3,78.0,22.8,20.4,10.9,65.0,0.831,227.0,0.529,517.0,0.371,0.548,0.563,11.2,3.2,1.7,0.9,0.3,1.2,14.4,12.8,16.1,6.9,108.3,109.3,0.595
171,Spencer Dinwiddie,Dal,G,32.0,77.0,26.9,18.1,12.6,236.0,0.797,352.0,0.497,319.0,0.335,0.5,0.554,11.2,2.6,4.4,0.9,0.2,1.3,13.8,15.5,18.2,7.5,116.5,115.0,0.481
172,Walker Kessler,Uta,C,23.7,58.0,30.0,13.8,17.0,152.0,0.52,385.0,0.706,35.0,0.171,0.669,0.658,11.1,12.2,1.7,0.6,2.4,1.5,23.2,12.7,24.9,8.2,128.1,112.8,0.203
173,Duncan Robinson,Mia,F,31.0,71.0,24.3,19.1,11.4,52.0,0.885,177.0,0.554,461.0,0.395,0.582,0.596,11.1,2.3,2.4,0.5,0.1,1.2,13.4,13.5,15.8,6.5,112.6,110.4,0.456
174,Gary Trent Jr.,Mil,G,26.2,71.0,25.6,17.1,6.1,90.0,0.844,216.0,0.468,411.0,0.416,0.57,0.593,11.1,2.3,1.1,1.0,0.1,0.6,13.5,12.3,14.6,4.7,115.1,110.9,0.57
175,Tim Hardaway Jr.,Det,G-F,33.1,74.0,28.2,15.6,6.8,145.0,0.855,218.0,0.486,441.0,0.37,0.532,0.571,11.1,2.4,1.6,0.5,0.1,0.6,13.6,12.8,15.2,5.0,117.4,115.4,0.544
176,Jrue Holiday,Bos,G,34.8,60.0,30.6,15.9,11.8,72.0,0.917,258.0,0.55,300.0,0.353,0.539,0.566,11.1,4.3,3.9,1.1,0.5,1.3,15.5,15.0,19.3,7.5,121.1,110.2,0.747
177,Guerschon Yabusele,Phi,F,29.3,70.0,27.1,16.4,13.4,138.0,0.725,289.0,0.616,274.0,0.38,0.593,0.616,11.0,5.6,2.1,0.8,0.3,1.2,16.6,13.1,18.7,7.5,121.7,112.9,0.291
178,Max Christie,Dal,G,22.2,29.0,30.2,16.4,12.9,57.0,0.877,133.0,0.429,137.0,0.372,0.494,0.537,10.9,4.2,2.5,0.9,0.2,1.4,15.1,13.4,17.6,6.4,106.4,115.3,0.481
179,Kevin Porter Jr.,Mil,G-F,24.9,27.0,19.2,24.5,18.0,69.0,0.884,153.0,0.51,60.0,0.433,0.549,0.606,10.9,3.9,3.4,1.0,0.1,1.7,14.8,14.4,18.3,10.9,114.4,106.0,0.57
180,Terry Rozier,Mia,G,31.1,62.0,26.0,20.6,10.9,108.0,0.852,321.0,0.483,302.0,0.301,0.468,0.503,10.9,3.7,2.6,0.6,0.2,1.2,14.6,13.5,17.2,7.3,103.3,112.9,0.456
181,Jordan Hawkins,Nor,G,22.9,56.0,23.6,21.0,9.4,98.0,0.816,224.0,0.433,332.0,0.331,0.471,0.504,10.8,2.8,1.2,0.5,0.4,1.0,13.6,12.0,14.8,5.6,100.8,121.5,0.266
182,Kelly Olynyk,Nor,F-C,34.0,19.0,25.6,18.4,22.0,57.0,0.754,110.0,0.545,35.0,0.4,0.559,0.603,10.8,6.1,3.6,0.9,0.5,2.2,16.9,14.4,20.5,9.7,114.6,109.0,0.266
183,Dennis Schroder,Det,G,31.6,26.0,25.0,19.8,12.1,93.0,0.839,131.0,0.435,101.0,0.297,0.44,0.517,10.8,2.7,5.3,0.5,0.2,1.2,13.5,16.2,18.8,8.6,117.1,110.6,0.544
184,Nikola Jovic,Mia,F,21.8,46.0,25.1,18.3,13.7,87.0,0.828,168.0,0.56,210.0,0.371,0.558,0.593,10.7,3.9,2.8,0.8,0.3,1.3,14.7,13.6,17.5,7.8,115.2,108.9,0.456
185,Brandon Boston Jr.,Nor,G,23.4,42.0,23.6,20.0,12.0,85.0,0.788,241.0,0.485,140.0,0.35,0.5,0.535,10.7,3.2,2.2,1.3,0.2,1.2,13.9,12.9,16.0,7.2,107.4,115.7,0.266
186,Obi Toppin,Ind,F,27.1,75.0,19.6,19.9,10.0,106.0,0.792,282.0,0.706,286.0,0.371,0.63,0.651,10.7,4.0,1.6,0.6,0.3,0.8,14.7,12.3,16.3,8.3,122.9,110.8,0.608
187,Khris Middleton,Was,F,33.7,14.0,22.1,22.0,13.1,38.0,0.868,79.0,0.494,47.0,0.277,0.464,0.526,10.7,3.7,3.4,1.3,0.2,1.4,14.4,14.1,17.9,9.3,108.8,114.3,0.215
188,Jared Butler,Phi,G,24.6,25.0,23.9,20.9,15.2,39.0,0.846,124.0,0.484,104.0,0.356,0.507,0.538,10.6,2.3,4.9,1.0,0.2,1.6,12.9,15.4,17.8,8.2,111.3,114.5,0.291
189,Lonnie Walker IV,Phi,G-F,26.3,17.0,22.8,21.0,10.7,21.0,0.762,63.0,0.54,95.0,0.337,0.519,0.538,10.6,3.1,2.6,0.5,0.2,1.1,13.6,13.2,16.2,7.7,108.1,118.2,0.291
190,Dennis Schroder,Gol,G,31.6,24.0,26.2,21.1,16.0,39.0,0.744,136.0,0.419,115.0,0.322,0.448,0.474,10.6,2.3,4.4,1.0,0.1,2.0,12.9,15.0,17.3,7.3,98.7,106.3,0.595
191,Jaylen Wells,Mem,F,21.6,78.0,26.1,15.8,9.3,133.0,0.827,283.0,0.523,388.0,0.356,0.529,0.562,10.5,3.4,1.7,0.6,0.1,0.9,13.9,12.2,15.6,6.0,116.9,112.8,0.595
192,Keon Johnson,Bro,G,23.1,76.0,24.3,21.5,12.3,125.0,0.768,365.0,0.46,385.0,0.314,0.466,0.494,10.5,3.7,2.1,1.1,0.4,1.4,14.1,12.6,16.3,7.1,99.4,107.5,0.329
193,Grayson Allen,Pho,G,29.5,60.0,24.1,17.3,12.7,110.0,0.818,123.0,0.496,329.0,0.422,0.596,0.628,10.5,3.0,2.1,0.8,0.3,1.1,13.5,12.6,15.6,6.7,119.1,117.1,0.443
194,Grant Williams,Cha,F,26.4,16.0,29.9,14.8,18.5,37.0,0.838,49.0,0.551,74.0,0.365,0.549,0.596,10.4,5.1,2.3,1.1,0.8,1.8,15.5,12.7,17.8,6.6,111.9,109.5,0.241
195,Andrew Nembhard,Ind,G-F,25.2,62.0,29.1,16.4,17.3,134.0,0.791,349.0,0.556,167.0,0.299,0.521,0.56,10.4,3.4,5.0,1.2,0.2,1.7,13.7,15.4,18.8,7.7,112.9,111.2,0.608
196,Dorian Finney-Smith,Bro,F,31.9,20.0,29.0,14.2,10.2,24.0,0.625,51.0,0.51,108.0,0.435,0.607,0.613,10.4,4.6,1.6,0.9,0.6,0.9,15.0,12.0,16.5,5.9,120.3,110.4,0.329
197,Brice Sensabaugh,Uta,F,21.4,68.0,19.5,21.4,14.9,62.0,0.887,216.0,0.528,337.0,0.415,0.586,0.606,10.3,2.9,1.4,0.6,0.1,1.4,13.2,11.8,14.6,7.1,109.7,116.2,0.203
198,Davion Mitchell,Mia,G,26.6,27.0,32.2,14.1,17.8,40.0,0.7,126.0,0.524,86.0,0.453,0.587,0.603,10.3,2.7,5.2,1.3,0.3,1.7,13.0,15.5,18.2,6.5,119.2,110.3,0.456
199,Herbert Jones,Nor,F,26.5,20.0,32.4,14.7,16.9,40.0,0.825,100.0,0.53,72.0,0.306,0.5,0.541,10.3,3.9,3.3,1.9,0.5,1.8,14.2,13.5,17.4,6.3,107.6,112.9,0.266
200,Nic Claxton,Bro,C,26.0,67.0,27.2,16.8,13.5,150.0,0.513,530.0,0.572,19.0,0.158,0.56,0.563,10.3,7.6,2.3,0.9,1.5,1.3,17.9,12.6,20.2,8.3,113.8,108.9,0.329
